"id";"period";"subject";"municipality";"settlement";"oktmo";"water_body";"indicator";"hazard_class";"cnt_cases";"value_min";"value_max";"unit"
7124;2020-10-31;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.34;0.34;мг/л
7125;2020-10-31;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.34;0.34;мг/л
7126;2020-10-31;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;1.12;1.12;мг/л
7127;2020-10-31;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;1.21;1.21;мг/л
7128;2020-10-31;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;1.60;1.60;мг/л
7129;2020-10-31;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;1.71;1.71;мг/л
7130;2020-10-31;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.39;0.39;мг/л
7131;2020-10-31;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.32;0.32;мг/л
7132;2020-11-30;Алтайский край;NaN;п. Лесной;NaN;р. Ребриха;Аммоний-ион;"4";1;82;82;ПДК
7133;2020-11-30;Иркутская область;Свирск;г. Свирск;"25746000001";вдхр. Братское;Взвешенные вещества;"";1;67;67;ПДК
7134;2020-11-30;Кировская область;Кильмезский район;п. Осиновка;"33617444136";р. Осиновка;Железо общее;"4";1;58;58;ПДК
7135;2020-11-30;Мурманская область;Городской округ город Мончегорск с подведомственной территорией;г. Мончегорск;"47715000111";р. Нюдуай;Никель;"3";1;70;70;ПДК
7136;2020-11-30;Мурманская область;Городской округ город Мурманск;г. Мурманск;"47701000001";р. Роста;Железо общее;"4";1;134;134;ПДК
7137;2020-11-30;Мурманская область;Городской округ город Мурманск;г. Мурманск;"47701000001";р. Роста;Никель;"3";1;59;59;ПДК
7138;2020-11-30;Мурманская область;Городской округ город Мурманск;г. Мурманск;"47701000001";руч. Варничный;БПК5;"";1;28;28;ПДК
7139;2020-11-30;Мурманская область;Городской округ город Мурманск;г. Мурманск;"47701000001";руч. Варничный;Запах;"";1;5;5;балл
7140;2020-11-30;Мурманская область;Кандалакшский муниципальный район;г. Кандалакша;"47608101001";ручей без названия;Бенз(а)пирен;"1";1;5;5;ПДК
7141;2020-11-30;Мурманская область;Кандалакшский муниципальный район;г. Кандалакша;"47608101001";ручей без названия;Бенз(а)пирен;"1";1;6;6;ПДК
