"id";"period";"subject";"municipality";"settlement";"oktmo";"water_body";"indicator";"hazard_class";"cnt_cases";"value_min";"value_max";"unit"
492;2009-02-28;Тюменская область;Пуровский муниципальный район;г. Тарко-Сале;"71920105001";р. Пяку-Пур;Железо общее;"4";1;64;64;ПДК
493;2009-03-31;Забайкальский край;Забайкальский район;с. Абагайтуй;"76612405101";р. Аргунь;Растворенный кислород;"";1;1.77;1.77;мг/л
494;2009-03-31;Красноярский край;Минусинский район;с. Большая Иня;"04633402106";оз. Большое Кызыкульское;Сульфиды и сероводород;"4";1;0.014;0.014;мг/л
495;2009-03-31;Курганская область;Курган;г. Курган;"37701000001";вдхр. Курганское;Марганец;"4";1;140;140;ПДК
496;2009-03-31;Курганская область;Шадринск;г. Шадринск;"37705000001";р. Исеть;Нитрит-ионы;"4э";1;91;91;ПДК
497;2009-03-31;Курганская область;Курган;г. Курган;"37701000001";р. Тобол;Марганец;"4";1;110;110;ПДК
498;2009-03-31;Курганская область;Курган;г. Курган;"37701000001";р. Тобол;Марганец;"4";1;140;140;ПДК
499;2009-03-31;Курганская область;Белозерский район;с. Белозерское;"37604408101";р. Тобол;Марганец;"4";1;54;54;ПДК
500;2009-03-31;Курганская область;Звериноголовский район;с. Звериноголовское;"37609418101";р. Тобол;Марганец;"4";1;70;70;ПДК
501;2009-03-31;Мурманская область;Городской округ город Кировск с подведомственной территорией;г. Кировск;"47712000001";оз. Большой Вудъявр;Молибден;"2";1;19;19;ПДК
502;2009-03-31;Мурманская область;Городской округ Ковдорский район;г. Ковдор;"47703000001";р. Можель;Марганец;"4";1;56;56;ПДК
503;2009-03-31;Омская область;Муромцевский район;с. Костино;"52634417101";р. Артынка;Марганец;"4";1;67;67;ПДК
504;2009-03-31;Омская область;Муромцевский район;рп. Муромцево;"52634151051";р. Тара;Марганец;"4";1;91;91;ПДК
505;2009-03-31;Пермский край;NaN;NaN;NaN;р. Вильва;Железо общее;"4";1;382;382;ПДК
506;2009-03-31;Пермский край;NaN;NaN;NaN;р. Вильва;Марганец;"4";1;81;81;ПДК
507;2009-03-31;Пермский край;Кизеловский район;г. Кизел;"57719000001";р. Кизел;Марганец;"4";1;827;827;ПДК
508;2009-03-31;Пермский край;Кизеловский район;г. Кизел;"57719000001";р. Кизел;Железо общее;"4";1;2690;2690;ПДК
509;2009-03-31;Пермский край;Александровский район;рп. Всеволодо-Вильва;"57605154051";р. Северная Вильва;Железо общее;"4";1;293;293;ПДК
510;2009-03-31;Пермский край;Александровский район;рп. Всеволодо-Вильва;"57605154051";р. Северная Вильва;Марганец;"4";1;149;149;ПДК
511;2009-03-31;Пермский край;Кунгур;г. Кунгур;"57722000001";р. Сылва;Взвешенные вещества;"";1;59;59;ПДК
512;2009-03-31;Свердловская область;муниципальное образование «город Екатеринбург»;г. Екатеринбург;"65701000001";вдхр. Верхне-Исетское;Взвешенные вещества;"";1;94;94;ПДК
513;2009-03-31;Свердловская область;городской округ Красноуральск;г. Красноуральск;"65746000001";р. Айва;Марганец;"4";1;54;54;ПДК
514;2009-03-31;Свердловская область;муниципальное образование «город Екатеринбург»;г. Екатеринбург;"65701000001";р. Исеть;Нитрит-ионы;"4э";1;81;81;ПДК
515;2009-03-31;Свердловская область;муниципальное образование «город Екатеринбург»;г. Екатеринбург;"65701000001";р. Исеть;Взвешенные вещества;"";1;165;165;ПДК
516;2009-03-31;Свердловская область;Белоярский городской округ;с. Колюткино;"65706000201";р. Исеть;Нитрит-ионы;"4э";1;50;50;ПДК
517;2009-03-31;Свердловская область;городской округ Красноуральск;г. Красноуральск;"65746000001";р. Лая;Марганец;"4";1;72;72;ПДК
518;2009-03-31;Свердловская область;городской округ Красноуральск;г. Красноуральск;"65746000001";р. Лая;Марганец;"4";1;67;67;ПДК
519;2009-03-31;Свердловская область;Невьянский городской округ;г. Невьянск;"65714000001";р. Нейва;Марганец;"4";1;69.0;69.0;ПДК
520;2009-03-31;Свердловская область;Невьянский городской округ;г. Невьянск;"65714000001";р. Нейва;Марганец;"4";1;51;51;ПДК
521;2009-03-31;Свердловская область;муниципальное образование «город Екатеринбург»;г. Екатеринбург;"65701000001";р. Патрушиха;Марганец;"4";1;54;54;ПДК
522;2009-03-31;Свердловская область;Берёзовский городской округ;г. Березовский;"65731000001";р. Пышма;Марганец;"4";1;83;83;ПДК
523;2009-03-31;Свердловская область;Берёзовский городской округ;г. Березовский;"65731000001";р. Пышма;Нитрит-ионы;"4э";1;92;92;ПДК
524;2009-03-31;Свердловская область;городской округ Верхний Тагил;г. Верхний Тагил;"65733000001";р. Тагил;Марганец;"4";1;63;63;ПДК
525;2009-03-31;Свердловская область;Слободо-Туринский муниципальный район;с. Тимофеево;"65639460161";р. Тура;Растворенный кислород;"";1;1.17;1.17;мг/л
526;2009-03-31;Свердловская область;городской округ Красноуфимск;г. Красноуфимск;"65747000001";р. Уфа;Взвешенные вещества;"";1;54;54;ПДК
527;2009-03-31;Тюменская область;Салехард;г. Салехард;"71951000001";р. Обь;Растворенный кислород;"";1;1.93;1.93;мг/л
528;2009-03-31;Тюменская область;Салехард;г. Салехард;"71951000001";р. Обь;Растворенный кислород;"";1;1.61;1.61;мг/л
529;2009-03-31;Тюменская область;Салехард;г. Салехард;"71951000001";р. Полуй;Растворенный кислород;"";1;1.93;1.93;мг/л
530;2009-03-31;Тюменская область;Салехард;г. Салехард;"71951000001";р. Полуй;Растворенный кислород;"";1;1.61;1.61;мг/л
531;2009-03-31;Тюменская область;Пуровский муниципальный район;с. Самбург;"71920407000";р. Пур;Марганец;"4";1;98;98;ПДК
532;2009-03-31;Тюменская область;Пуровский муниципальный район;пгт. Уренгой;"71920159051";р. Пур;Марганец;"4";1;96;96;ПДК
533;2009-03-31;Тюменская область;Пуровский муниципальный район;г. Тарко-Сале;"71920105001";р. Пяку-Пур;Железо общее;"4";1;82;82;ПДК
534;2009-03-31;Тюменская область;Ярковский район;с. Покровское;"71658445101";р. Тура;Марганец;"4";1;107;107;ПДК
535;2009-03-31;Челябинская область;Миасский;г. Миасс;"75742000001";р. Миасс;Марганец;"4";1;57;57;ПДК
536;2009-03-31;Челябинская область;Троицкий;г. Троицк;"75752000001";р. Увелька;Растворенный кислород;"";1;0.71;0.71;мг/л
537;2009-04-30;Архангельская область;Лешуконский муниципальный район;д. Малая Нисогора;"11638408126";р. Мезень;Марганец;"4";1;227;227;ПДК
538;2009-04-30;Вологодская область;Сокольский район;г. Сокол;"19638101001";р. Пельшма;Фенол;"3";1;58;58;ПДК
539;2009-04-30;Курганская область;Курган;г. Курган;"37701000001";вдхр. Курганское;Марганец;"4";1;75;75;ПДК
540;2009-04-30;Курганская область;Шадринск;г. Шадринск;"37705000001";р. Исеть;Взвешенные вещества;"";1;53;53;ПДК
541;2009-04-30;Курганская область;Каргапольский район;рп. Каргаполье;"37610151051";р. Миасс;Взвешенные вещества;"";1;118;118;ПДК
542;2009-04-30;Курганская область;Далматовский район;с. Першинское;"37608467101";р. Теча;Взвешенные вещества;"";1;66;66;ПДК
543;2009-04-30;Курганская область;Курган;г. Курган;"37701000001";р. Тобол;Марганец;"4";1;77;77;ПДК
544;2009-04-30;Курганская область;Курган;г. Курган;"37701000001";р. Тобол;Марганец;"4";1;100;100;ПДК
545;2009-04-30;Курганская область;Белозерский район;с. Белозерское;"37604408101";р. Тобол;Марганец;"4";1;65;65;ПДК
546;2009-04-30;Магаданская область;NaN;п. Усть-Среднекан;NaN;р. Колыма;Свинец;"2";1;33;33;ПДК
547;2009-04-30;Мурманская область;Городской округ город Кировск с подведомственной территорией;г. Кировск;"47712000001";оз. Большой Вудъявр;Молибден;"2";1;15;15;ПДК
548;2009-04-30;Мурманская область;Городской округ город Апатиты с подведомственной территорией;г. Апатиты;"47705000001";р. Белая;Молибден;"2";1;16;16;ПДК
549;2009-04-30;Мурманская область;Печенгский муниципальный район;пгт. Никель;"47515000051";р. Колос-Йоки;Никель;"3";1;57;57;ПДК
550;2009-04-30;Нижегородская область;NaN;с. Ефимьево;NaN;р. Кудьма;Взвешенные вещества;"";1;75;75;ПДК
551;2009-04-30;Нижегородская область;NaN;пос. Первое Мая;NaN;р. Пыра;Железо общее;"4";1;63;63;ПДК
552;2009-04-30;Новосибирская область;Новосибирск;г. Новосибирск;"50701000001";р. Обь;Медь;"3";1;94;94;ПДК
553;2009-04-30;Омская область;Калачинский район;г. Калачинск;"52618101001";р. Омь;Марганец;"4";1;120;120;ПДК
554;2009-04-30;Омская область;Калачинский район;г. Калачинск;"52618101001";р. Омь;Марганец;"4";1;112;112;ПДК
555;2009-04-30;Омская область;Омск;г. Омск;"52701000001";р. Омь;Марганец;"4";1;68;68;ПДК
556;2009-04-30;Пермский край;NaN;NaN;NaN;р. Вильва;Железо общее;"4";1;137;137;ПДК
557;2009-04-30;Пермский край;NaN;д. Шубино;NaN;р. Ирень;Взвешенные вещества;"";1;156;156;ПДК
558;2009-04-30;Пермский край;Кизеловский район;г. Кизел;"57719000001";р. Кизел;Марганец;"4";1;159;159;ПДК
559;2009-04-30;Пермский край;Кизеловский район;г. Кизел;"57719000001";р. Кизел;Железо общее;"4";1;600;600;ПДК
560;2009-04-30;Пермский край;Александровский район;рп. Всеволодо-Вильва;"57605154051";р. Северная Вильва;Марганец;"4";1;62;62;ПДК
561;2009-04-30;Пермский край;Александровский район;рп. Всеволодо-Вильва;"57605154051";р. Северная Вильва;Железо общее;"4";1;188;188;ПДК
562;2009-04-30;Пермский край;Кунгур;г. Кунгур;"57722000001";р. Сылва;Взвешенные вещества;"";1;89;89;ПДК
563;2009-04-30;Пермский край;Кунгур;г. Кунгур;"57722000001";р. Сылва;Взвешенные вещества;"";1;113;113;ПДК
564;2009-04-30;Сахалинская область;городской округ Охинский;г. Оха;"64736000001";р. Охинка;Нефть и нефтепродукты;"3";1;52;52;ПДК
565;2009-04-30;Свердловская область;городской округ Красноуральск;г. Красноуральск;"65746000001";р. Айва;Медь;"3";1;54;54;ПДК
566;2009-04-30;Свердловская область;муниципальное образование «город Екатеринбург»;г. Екатеринбург;"65701000001";р. Исеть;Нитрит-ионы;"4э";1;89;89;ПДК
567;2009-04-30;Свердловская область;муниципальное образование «город Екатеринбург»;г. Екатеринбург;"65701000001";р. Исеть;Нитрит-ионы;"4э";1;107;107;ПДК
568;2009-04-30;Свердловская область;муниципальное образование «город Екатеринбург»;г. Екатеринбург;"65701000001";р. Исеть;Нитрит-ионы;"4э";1;132;132;ПДК
569;2009-04-30;Свердловская область;муниципальное образование «город Екатеринбург»;г. Екатеринбург;"65701000001";р. Исеть;Нитрит-ионы;"4э";1;81;81;ПДК
570;2009-04-30;Свердловская область;муниципальное образование «город Екатеринбург»;г. Екатеринбург;"65701000001";р. Исеть;Взвешенные вещества;"";1;51;51;ПДК
571;2009-04-30;Свердловская область;Кушвинский городской округ;г. Кушва;"65748000001";р. Кушва;Марганец;"4";1;53;53;ПДК
572;2009-04-30;Свердловская область;Кушвинский городской округ;г. Кушва;"65748000001";р. Кушва;Марганец;"4";1;55;55;ПДК
573;2009-04-30;Свердловская область;городской округ Красноуральск;г. Красноуральск;"65746000001";р. Лая;Марганец;"4";1;57;57;ПДК
574;2009-04-30;Свердловская область;городской округ Красноуральск;г. Красноуральск;"65746000001";р. Лая;Марганец;"4";1;78;78;ПДК
575;2009-04-30;Свердловская область;Невьянский городской округ;г. Невьянск;"65714000001";р. Нейва;Марганец;"4";1;80;80;ПДК
576;2009-04-30;Свердловская область;Невьянский городской округ;г. Невьянск;"65714000001";р. Нейва;Марганец;"4";1;66;66;ПДК
577;2009-04-30;Свердловская область;Асбестовский городской округ;г. Асбест;"65730000001";р. Островная;Марганец;"4";1;51;51;ПДК
578;2009-04-30;Свердловская область;Берёзовский городской округ;г. Березовский;"65731000001";р. Пышма;Марганец;"4";1;51;51;ПДК
579;2009-04-30;Свердловская область;Полевской городской округ;г. Полевской;"65754000001";р. Северушка;Марганец;"4";1;92;92;ПДК
580;2009-04-30;Свердловская область;Полевской городской округ;г. Полевской;"65754000001";р. Северушка;Марганец;"4";1;70;70;ПДК
581;2009-04-30;Свердловская область;Полевской городской округ;г. Полевской;"65754000001";р. Северушка;Марганец;"4";1;105;105;ПДК
582;2009-04-30;Свердловская область;Тавдинский городской округ;г. Тавда;"65723000001";р. Тавда;Марганец;"4";1;61;61;ПДК
583;2009-04-30;Свердловская область;Тавдинский городской округ;г. Тавда;"65723000001";р. Тавда;Марганец;"4";1;66;66;ПДК
584;2009-04-30;Свердловская область;Тавдинский городской округ;г. Тавда;"65723000001";р. Тавда;Марганец;"4";1;67;67;ПДК
585;2009-04-30;Тюменская область;Надымский муниципальный район;г. Надым;"71936000001";р. Надым;Марганец;"4";1;55;55;ПДК
586;2009-04-30;Тюменская область;Салехард;г. Салехард;"71951000001";р. Обь;Растворенный кислород;"";1;1.61;1.61;мг/л
587;2009-04-30;Тюменская область;Салехард;г. Салехард;"71951000001";р. Обь;Растворенный кислород;"";1;1.29;1.29;мг/л
588;2009-04-30;Тюменская область;Салехард;г. Салехард;"71951000001";р. Полуй;Растворенный кислород;"";1;1.93;1.93;мг/л
589;2009-04-30;Тюменская область;Пуровский муниципальный район;с. Самбург;"71920407000";р. Пур;Железо общее;"4";1;70;70;ПДК
590;2009-04-30;Тюменская область;Пуровский муниципальный район;с. Самбург;"71920407000";р. Пур;Марганец;"4";1;86;86;ПДК
591;2009-04-30;Тюменская область;Пуровский муниципальный район;г. Тарко-Сале;"71920105001";р. Пяку-Пур;Марганец;"4";1;70;70;ПДК
592;2009-04-30;Тюменская область;NaN;пос. Находка;NaN;р. Тазовская Губа;Марганец;"4";1;106;106;ПДК
593;2009-04-30;Удмуртская Республика;Граховский;с. Грахово;"94612422101";р. Адамка;Взвешенные вещества;"";1;188;188;ПДК
594;2009-04-30;Удмуртская Республика;Граховский;с. Грахово;"94612422101";р. Адамка;Взвешенные вещества;"";1;66;66;ПДК
595;2009-04-30;Удмуртская Республика;Сарапул;г. Сарапул;"94740000001";р. Кама;Взвешенные вещества;"";1;175;175;ПДК
596;2009-04-30;Удмуртская Республика;Сарапул;г. Сарапул;"94740000001";р. Кама;Взвешенные вещества;"";1;98;98;ПДК
597;2009-04-30;Удмуртская Республика;Игринский;п. Игра;"94618415101";р. Лоза;Взвешенные вещества;"";1;136;136;ПДК
598;2009-04-30;Удмуртская Республика;Игринский;п. Игра;"94618415101";р. Лоза;Взвешенные вещества;"";1;63;63;ПДК
599;2009-04-30;Удмуртская Республика;Глазов;г. Глазов;"94720000001";р. Чепца;Взвешенные вещества;"";1;61;61;ПДК
600;2009-04-30;Удмуртская Республика;Кезский;с. Полом;"94624455101";р. Чепца;Взвешенные вещества;"";1;214;214;ПДК
601;2009-04-30;Ямало-Ненецкий автономный округ (Тюменская область);Красноселькупский муниципальный район;с. Красноселькуп;"71634411106";р. Таз;Марганец;"4";1;79;79;ПДК
602;2009-05-31;Мурманская область;Городской округ город Кировск с подведомственной территорией;г. Кировск;"47712000001";оз. Большой Вудъявр;Молибден;"2";1;23;23;ПДК
603;2009-05-31;Мурманская область;Городской округ город Апатиты с подведомственной территорией;г. Апатиты;"47705000001";р. Белая;Молибден;"2";1;13;13;ПДК
604;2009-05-31;Мурманская область;NaN;NaN;NaN;р. Луотти-Йоки;Дитиофосфат крезиловый;"4";1;50;50;ПДК
605;2009-05-31;Мурманская область;Печенгский муниципальный район;г. Заполярный;"47615103001";р. Хаукилампийоки;Дитиофосфат крезиловый;"4";1;80;80;ПДК
606;2009-05-31;Нижегородская область;Лысковский район;с. Семово;"22640416171";р. Сундовик;Взвешенные вещества;"";1;64;64;ПДК
607;2009-05-31;Пермский край;Кудымкар;г. Кудымкар;"57851000001";р. Иньва;Взвешенные вещества;"";1;65;65;ПДК
608;2009-05-31;Пермский край;NaN;д. Слудка;NaN;р. Иньва;Взвешенные вещества;"";1;58;58;ПДК
609;2009-05-31;Пермский край;Гайнский район;п. Гайны;"57814405101";р. Кама;Взвешенные вещества;"";1;51;51;ПДК
610;2009-05-31;Пермский край;Кизеловский район;г. Кизел;"57719000001";р. Кизел;Марганец;"4";1;93;93;ПДК
611;2009-05-31;Пермский край;Кизеловский район;г. Кизел;"57719000001";р. Кизел;Железо общее;"4";1;442;442;ПДК
612;2009-05-31;Пермский край;Кизеловский район;г. Кизел;"57719000001";р. Кизел;Марганец;"4";1;93;93;ПДК
613;2009-05-31;Пермский край;Губаха;г. Губаха;"57717000001";р. Косьва;Взвешенные вещества;"";1;77;77;ПДК
614;2009-05-31;Пермский край;Александровский район;рп. Всеволодо-Вильва;"57605154051";р. Северная Вильва;Железо общее;"4";1;118;118;ПДК
615;2009-05-31;Пермский край;Кунгур;г. Кунгур;"57722000001";р. Сылва;Взвешенные вещества;"";1;103;103;ПДК
616;2009-05-31;Пермский край;Кунгур;г. Кунгур;"57722000001";р. Сылва;Взвешенные вещества;"";1;58;58;ПДК
617;2009-05-31;Сахалинская область;городской округ Охинский;г. Оха;"64736000001";р. Охинка;Нефть и нефтепродукты;"3";1;100;100;ПДК
618;2009-05-31;Сахалинская область;городской округ Охинский;г. Оха;"64736000001";р. Охинка;Нефть и нефтепродукты;"3";1;72;72;ПДК
619;2009-05-31;Свердловская область;городской округ Первоуральск;с. Новоалексеевское;"65753000241";вдхр. Волчихинское;Марганец;"4";1;73.0;73.0;ПДК
620;2009-05-31;Свердловская область;городской округ Красноуральск;г. Красноуральск;"65746000001";р. Айва;Медь;"3";1;68;68;ПДК
621;2009-05-31;Свердловская область;городской округ Красноуральск;г. Красноуральск;"65746000001";р. Айва;Медь;"3";1;64;64;ПДК
622;2009-05-31;Свердловская область;муниципальное образование «город Екатеринбург»;г. Екатеринбург;"65701000001";р. Исеть;Взвешенные вещества;"";1;82;82;ПДК
623;2009-05-31;Свердловская область;муниципальное образование «город Екатеринбург»;г. Екатеринбург;"65701000001";р. Исеть;Нитрит-ионы;"4э";1;91;91;ПДК
624;2009-05-31;Свердловская область;муниципальное образование «город Екатеринбург»;г. Екатеринбург;"65701000001";р. Исеть;Взвешенные вещества;"";1;50;50;ПДК
625;2009-05-31;Свердловская область;город Каменск-Уральский;г. Каменск-Уральский;"65740000001";р. Исеть;Взвешенные вещества;"";1;56;56;ПДК
626;2009-05-31;Свердловская область;город Каменск-Уральский;г. Каменск-Уральский;"65740000001";р. Исеть;Взвешенные вещества;"";1;114;114;ПДК
627;2009-05-31;Свердловская область;Белоярский городской округ;с. Колюткино;"65706000201";р. Исеть;Взвешенные вещества;"";1;65;65;ПДК
628;2009-05-31;Свердловская область;городской округ Красноуральск;г. Красноуральск;"65746000001";р. Лая;Медь;"3";1;56;56;ПДК
629;2009-05-31;Свердловская область;Невьянский городской округ;г. Невьянск;"65714000001";р. Нейва;Марганец;"4";1;160;160;ПДК
630;2009-05-31;Свердловская область;NaN;NaN;NaN;р. Северушка;Марганец;"4";1;178;178;ПДК
631;2009-05-31;Свердловская область;NaN;NaN;NaN;р. Северушка;Марганец;"4";1;176;176;ПДК
632;2009-05-31;Свердловская область;городской округ Красноуфимск;г. Красноуфимск;"65747000001";р. Уфа;Взвешенные вещества;"";1;80;80;ПДК
633;2009-05-31;Свердловская область;городской округ Красноуфимск;г. Красноуфимск;"65747000001";р. Уфа;Взвешенные вещества;"";1;81;81;ПДК
634;2009-05-31;Свердловская область;Нижнесергинский муниципальный район;г. Михайловск;"65628104001";р. Уфа;Взвешенные вещества;"";1;53;53;ПДК
635;2009-05-31;Тюменская область;Салехард;г. Салехард;"71951000001";р. Обь;Растворенный кислород;"";1;1.61;1.61;мг/л
636;2009-05-31;Тюменская область;Салехард;г. Салехард;"71951000001";р. Обь;Растворенный кислород;"";1;0.96;0.96;мг/л
637;2009-05-31;Тюменская область;Пуровский муниципальный район;с. Самбург;"71920407000";р. Пур;Марганец;"4";1;68;68;ПДК
638;2009-05-31;Тюменская область;Пуровский муниципальный район;пгт. Уренгой;"71920159051";р. Пур;Марганец;"4";1;57;57;ПДК
639;2009-05-31;Тюменская область;Пуровский муниципальный район;г. Тарко-Сале;"71920105001";р. Пяку-Пур;Марганец;"4";1;52;52;ПДК
640;2009-05-31;Удмуртская Республика;Глазов;г. Глазов;"94720000001";р. Чепца;Взвешенные вещества;"";1;121;121;ПДК
641;2009-05-31;Удмуртская Республика;Кезский;с. Полом;"94624455101";р. Чепца;Взвешенные вещества;"";1;80;80;ПДК
642;2009-05-31;Хабаровский край;Хабаровский;с. Федоровка;"08655443136";р. Березовая;Растворенный кислород;"";1;0.01;0.01;мг/л
643;2009-05-31;Хабаровский край;Солнечный;рп. Солнечный;"08644151051";р. Силинка;Медь;"3";1;72;72;ПДК
644;2009-05-31;Хабаровский край;Солнечный;рп. Солнечный;"08644151051";р. Силинка;Медь;"3";1;65;65;ПДК
645;2009-05-31;Хабаровский край;Солнечный;п. Горный;"08644432101";р. Силинка;Медь;"3";1;81;81;ПДК
646;2009-06-30;Забайкальский край;Чита;г. Чита;"76701000001";р. Читинка;Фосфаты;"4э";1;50;50;ПДК
647;2009-06-30;Забайкальский край;Шилкинский район;г. Шилка;"76654101001";р. Шилка;ГХЦГ;"1";1;10;10;ПДК
648;2009-06-30;Камчатский край;NaN;NaN;NaN;Авачинская Губа, Берингово море;Растворенный кислород;"";1;0.76;0.76;мг/л
649;2009-06-30;Камчатский край;NaN;NaN;NaN;Авачинская Губа, Берингово море;Растворенный кислород;"";1;1.74;1.74;мг/л
650;2009-06-30;Мурманская область;Городской округ город Апатиты с подведомственной территорией;г. Апатиты;"47705000001";р. Белая;Молибден;"2";1;8;8;ПДК
651;2009-06-30;Мурманская область;NaN;NaN;NaN;р. Луотти-Йоки;Дитиофосфат крезиловый;"4";1;50;50;ПДК
652;2009-06-30;Мурманская область;Городской округ город Мончегорск с подведомственной территорией;г. Мончегорск;"47715000111";р. Нюдуай;Медь;"3";1;59;59;ПДК
653;2009-06-30;Мурманская область;Городской округ город Мурманск;г. Мурманск;"47701000001";руч. Варничный;БПК5;"";1;27;27;ПДК
654;2009-06-30;Мурманская область;Печенгский муниципальный район;г. Заполярный;"47615103001";р. Хаукилампийоки;Дитиофосфат крезиловый;"4";1;60;60;ПДК
655;2009-06-30;Пермский край;NaN;п. Няр;NaN;вдхр. Широковское;Взвешенные вещества;"";1;78;78;ПДК
656;2009-06-30;Пермский край;NaN;NaN;NaN;р. Вильва;Железо общее;"4";1;68;68;ПДК
657;2009-06-30;Пермский край;Кизеловский район;г. Кизел;"57719000001";р. Кизел;Марганец;"4";1;326;326;ПДК
658;2009-06-30;Пермский край;Кизеловский район;г. Кизел;"57719000001";р. Кизел;Железо общее;"4";1;1430;1430;ПДК
659;2009-06-30;Пермский край;Александровский район;рп. Всеволодо-Вильва;"57605154051";р. Северная Вильва;Марганец;"4";1;88;88;ПДК
660;2009-06-30;Пермский край;Александровский район;рп. Всеволодо-Вильва;"57605154051";р. Северная Вильва;Железо общее;"4";1;134;134;ПДК
661;2009-06-30;Самарская область;Самара;г. Самара;"36701000001";р. Падовая;Нитрит-ионы;"4э";1;134;134;ПДК
662;2009-06-30;Самарская область;Чапаевск;г. Чапаевск;"36750000001";р. Чапаевка;ГХЦГ;"1";1;12;12;ПДК
663;2009-06-30;Самарская область;Чапаевск;г. Чапаевск;"36750000001";р. Чапаевка;ГХЦГ;"1";1;5;5;ПДК
664;2009-06-30;Сахалинская область;Невельский городской округ;с. Горнозаводск;"64728000";р. Лопатинка;Железо общее;"4";1;64;64;ПДК
665;2009-06-30;Сахалинская область;Анивский городской округ;г. Анива;"64708000001";р. Лютога;Железо общее;"4";1;81;81;ПДК
666;2009-06-30;Сахалинская область;Анивский городской округ;г. Анива;"64708000001";р. Лютога;Железо общее;"4";1;78;78;ПДК
667;2009-06-30;Сахалинская область;городской округ Город Южно-Сахалинск;г. Южно-Сахалинск;"64701000001";р. Сусуя;Железо общее;"4";1;68;68;ПДК
668;2009-06-30;Свердловская область;городской округ Заречный;г. Заречный;"65737000001";вдхр. Белоярское;Взвешенные вещества;"";1;81;81;ПДК
669;2009-06-30;Свердловская область;городской округ Красноуральск;г. Красноуральск;"65746000001";р. Айва;Медь;"3";1;95;95;ПДК
670;2009-06-30;Свердловская область;городской округ Красноуральск;г. Красноуральск;"65746000001";р. Айва;Медь;"3";1;92;92;ПДК
671;2009-06-30;Свердловская область;городской округ Красноуральск;г. Красноуральск;"65746000001";р. Лая;Медь;"3";1;58;58;ПДК
672;2009-06-30;Свердловская область;городской округ Красноуральск;г. Красноуральск;"65746000001";р. Лая;Медь;"3";1;74;74;ПДК
673;2009-06-30;Свердловская область;городской округ Красноуральск;г. Красноуральск;"65746000001";р. Лая;Медь;"3";1;68;68;ПДК
674;2009-06-30;Свердловская область;Ирбитское муниципальное образование;г. Ирбит;"65739000001";р. Ница;Взвешенные вещества;"";1;74;74;ПДК
675;2009-06-30;Свердловская область;Слободо-Туринский муниципальный район;с. Краснослободское;"65639470191";р. Ница;Взвешенные вещества;"";1;86;86;ПДК
676;2009-06-30;Свердловская область;Камышловский городской округ;г. Камышлов;"65741000001";р. Пышма;Взвешенные вещества;"";1;71;71;ПДК
677;2009-06-30;Свердловская область;городской округ Сухой Лог;г. Сухой Лог;"65758000001";р. Пышма;Взвешенные вещества;"";1;72;72;ПДК
678;2009-06-30;Свердловская область;Талицкий городской округ;г. Талица;"65724000001";р. Пышма;Взвешенные вещества;"";1;301;301;ПДК
679;2009-06-30;Свердловская область;Талицкий городской округ;г. Талица;"65724000001";р. Пышма;Взвешенные вещества;"";1;138;138;ПДК
680;2009-06-30;Хабаровский край;Хабаровский;с. Федоровка;"08655443136";р. Березовая;Растворенный кислород;"";1;1.08;1.08;мг/л
681;2009-06-30;Хабаровский край;Солнечный;п. Горный;"08644432101";р. Силинка;Медь;"3";1;51;51;ПДК
682;2009-06-30;Хабаровский край;Солнечный;рп. Солнечный;"08644151051";р. Силинка;Медь;"3";1;51;51;ПДК
683;2009-06-30;Челябинская область;Карабашский;г. Карабаш;"75715000001";вдхр. Аргазинское;Марганец;"4";1;106;106;ПДК
684;2009-06-30;Челябинская область;Целинный район;с. Усть-Уйское;"37634448101";р. Уй;Взвешенные вещества;"";1;97;97;ПДК
685;2009-07-31;Амурская область;Благовещенский;с. Сергеевка;"10611436101";р. Черная;Нитрит-ионы;"4э";1;50.0;50.0;ПДК
686;2009-07-31;Амурская область;Благовещенский;с. Сергеевка;"10611436101";р. Черная;Растворенный кислород;"";1;1.79;1.79;мг/л
687;2009-07-31;Архангельская область;Лешуконский муниципальный район;д. Малая Нисогора;"11638408126";р. Мезень;Марганец;"4";1;221.0;221.0;ПДК
688;2009-07-31;Вологодская область;Город Вологда;г. Вологда;"19701000001";р. Шограш;Растворенный кислород;"";1;1.64;1.64;мг/л
689;2009-07-31;Вологодская область;Город Вологда;г. Вологда;"19701000001";р. Шограш;Растворенный кислород;"";1;1.79;1.79;мг/л
690;2009-07-31;Курганская область;Шадринск;г. Шадринск;"37705000001";р. Исеть;Взвешенные вещества;"";1;56.53;56.53;ПДК
691;2009-07-31;Курганская область;Шадринск;г. Шадринск;"37705000001";р. Исеть;Взвешенные вещества;"";1;59.2;59.2;ПДК
692;2009-07-31;Курганская область;Шатровский район;с. Мехонское;"37640440101";р. Исеть;Взвешенные вещества;"";1;83.2;83.2;ПДК
693;2009-07-31;Курганская область;Каргапольский район;рп. Каргаполье;"37610151051";р. Миасс;Взвешенные вещества;"";1;54.4;54.4;ПДК
694;2009-07-31;Мурманская область;Городской округ город Кировск с подведомственной территорией;г. Кировск;"47712000001";оз. Большой Вудъявр;Молибден;"2";1;11;11;ПДК
695;2009-07-31;Мурманская область;Городской округ город Апатиты с подведомственной территорией;г. Апатиты;"47705000001";оз. Имандра;Молибден;"2";1;51;51;ПДК
